time,hu
1960-01-01,82.69
1960-01-02,87.95375
1960-01-03,91.16556
1960-01-04,91.305
1960-01-05,89.728
1960-01-06,90.62688
1960-01-07,93.375
1960-01-08,90.659996
1960-01-09,81.237
1960-01-10,89.53111
1960-01-11,88.976
1960-01-12,88.7955
1960-01-13,87.159996
1960-01-14,86.6985
1960-01-15,83.358
1960-01-16,94.01889
1960-01-17,92.029
1960-01-18,90.05556
1960-01-19,80.03
1960-01-20,82.1225
1960-01-21,84.3425
1960-01-22,85.052635
1960-01-23,83.54056
1960-01-24,85.3365
1960-01-25,84.087
1960-01-26,84.23842
1960-01-27,83.782
1960-01-28,79.278
1960-01-29,79.86053
1960-01-30,84.1465
1960-01-31,79.2905
1960-02-01,83.58053
1960-02-02,80.89
1960-02-03,82.1645
1960-02-04,79.261
1960-02-05,76.7955
1960-02-06,87.47421
1960-02-07,83.542496
1960-02-08,78.376495
1960-02-09,83.471
1960-02-10,76.988
1960-02-11,82.160995
1960-02-12,81.111496
1960-02-13,84.555
1960-02-14,89.2475
1960-02-15,78.3575
1960-02-16,89.4845
1960-02-17,79.7725
1960-02-18,82.429
1960-02-19,89.15941
1960-02-20,94.54667
1960-02-21,91.7425
1960-02-22,80.8025
1960-02-23,89.12
1960-02-24,90.68611
1960-02-25,78.661995
1960-02-26,85.534
1960-02-27,82.7885
1960-02-28,84.17526
1960-02-29,87.74177
1960-03-01,77.965
1960-03-02,86.0455
1960-03-03,84.8865
1960-03-04,87.197
1960-03-05,84.03333
1960-03-06,78.7805
1960-03-07,80.39
1960-03-08,80.8125
1960-03-09,83.527
1960-03-10,77.551
1960-03-11,70.083
1960-03-12,69.1165
1960-03-13,82.917
1960-03-14,82.781
1960-03-15,78.982
1960-03-16,79.62
1960-03-17,78.5775
1960-03-18,89.956474
1960-03-19,92.06286
1960-03-20,90.98222
1960-03-21,76.423996
1960-03-22,67.858
1960-03-23,72.5615
1960-03-24,71.895
1960-03-25,70.8185
1960-03-26,75.5895
1960-03-27,80.945
1960-03-28,73.712
1960-03-29,70.171
1960-03-30,72.165
1960-03-31,84.683685
1960-04-01,84.0285
1960-04-02,92.371056
1960-04-03,87.971
1960-04-04,67.864
1960-04-05,67.321
1960-04-06,76.1345
1960-04-07,61.847
1960-04-08,69.1655
1960-04-09,74.3865
1960-04-10,72.4295
1960-04-11,76.5545
1960-04-12,74.4115
1960-04-13,76.1565
1960-04-14,56.949997
1960-04-15,78.2075
1960-04-16,75.1345
1960-04-17,78.536995
1960-04-18,80.7695
1960-04-19,74.641495
1960-04-20,84.325
1960-04-21,84.915
1960-04-22,80.264
1960-04-23,78.6925
1960-04-24,71.0175
1960-04-25,69.7475
1960-04-26,79.4145
1960-04-27,76.7525
1960-04-28,84.0525
1960-04-29,89.86
1960-04-30,89.6235
1960-05-01,77.895
1960-05-02,75.923
