time,hu
1960-01-01,83.47158
1960-01-02,91.52177
1960-01-03,89.80421
1960-01-04,92.50539
1960-01-05,91.880905
1960-01-06,91.16059
1960-01-07,91.315384
1960-01-08,89.46632
1960-01-09,83.696
1960-01-10,85.129
1960-01-11,86.617
1960-01-12,86.5695
1960-01-13,88.21895
1960-01-14,87.5565
1960-01-15,81.3785
1960-01-16,91.7021
1960-01-17,90.08722
1960-01-18,87.972
1960-01-19,78.3625
1960-01-20,78.304
1960-01-21,87.60421
1960-01-22,85.085266
1960-01-23,85.67
1960-01-24,84.114
1960-01-25,78.318
1960-01-26,81.195496
1960-01-27,78.9505
1960-01-28,83.2855
1960-01-29,83.604996
1960-01-30,84.094734
1960-01-31,78.5385
1960-02-01,77.346
1960-02-02,73.9615
1960-02-03,79.5465
1960-02-04,74.762
1960-02-05,76.27
1960-02-06,80.8805
1960-02-07,82.8125
1960-02-08,78.726
1960-02-09,81.267
1960-02-10,78.6205
1960-02-11,85.5595
1960-02-12,75.8955
1960-02-13,82.097
1960-02-14,88.47
1960-02-15,84.03474
1960-02-16,86.5915
1960-02-17,83.0925
1960-02-18,85.688
1960-02-19,91.077896
1960-02-20,92.46
1960-02-21,91.164
1960-02-22,79.227
1960-02-23,81.54053
1960-02-24,89.63
1960-02-25,80.8875
1960-02-26,84.478
1960-02-27,80.520996
1960-02-28,86.591576
1960-02-29,88.75421
1960-03-01,83.3115
1960-03-02,87.61895
1960-03-03,86.98421
1960-03-04,89.64445
1960-03-05,87.387
1960-03-06,80.1565
1960-03-07,80.006
1960-03-08,80.5915
1960-03-09,79.7045
1960-03-10,68.924995
1960-03-11,65.096
1960-03-12,64.834
1960-03-13,77.249
1960-03-14,77.848
1960-03-15,72.9015
1960-03-16,69.86
1960-03-17,77.465996
1960-03-18,90.387695
1960-03-19,93.22583
1960-03-20,90.342224
1960-03-21,74.93
1960-03-22,71.0065
1960-03-23,73.6565
1960-03-24,72.482
1960-03-25,69.8115
1960-03-26,68.1085
1960-03-27,80.072
1960-03-28,76.062996
1960-03-29,71.471
1960-03-30,77.3095
1960-03-31,82.7685
1960-04-01,74.82
1960-04-02,86.77611
1960-04-03,85.9135
1960-04-04,76.1655
1960-04-05,71.253
1960-04-06,73.046
1960-04-07,57.393497
1960-04-08,71.905
1960-04-09,79.99
1960-04-10,79.567
1960-04-11,80.354
1960-04-12,68.817
1960-04-13,78.582
1960-04-14,61.646
1960-04-15,78.109
1960-04-16,78.904495
1960-04-17,75.0355
1960-04-18,68.178
1960-04-19,58.394
1960-04-20,71.751
1960-04-21,79.0385
1960-04-22,77.2615
1960-04-23,76.5995
1960-04-24,69.891
1960-04-25,76.827995
1960-04-26,73.8655
1960-04-27,73.1725
1960-04-28,80.905
1960-04-29,89.793686
1960-04-30,88.557365
1960-05-01,80.232
1960-05-02,82.0415
1960-05-03,71.818
1960-05-04,63.757
1960-05-05,52.856
1960-05-06,75.057
1960-05-07,73.7285
1960-05-08,80.36948
1960-05-09,76.1935
1960-05-10,74.793
1960-05-11,71.1665
1960-05-12,64.3315
1960-05-13,62.732
1960-05-14,64.681
1960-05-15,55.691498
1960-05-16,49.033497
1960-05-17,61.2585
1960-05-18,69.918495
1960-05-19,51.895996
1960-05-20,66.705
1960-05-21,73.542
1960-05-22,62.182
1960-05-23,81.2625
1960-05-24,78.6575
1960-05-25,79.0895
1960-05-26,71.7775
1960-05-27,83.756996
1960-05-28,87.1405
1960-05-29,91.1425
1960-05-30,86.80631
1960-05-31,79.1595
1960-06-01,76.5165
1960-06-02,73.2095
1960-06-03,69.237495
1960-06-04,73.526
1960-06-05,71.3935
1960-06-06,67.8705
1960-06-07,67.629
1960-06-08,78.194496
1960-06-09,72.242
1960-06-10,75.4135
1960-06-11,85.384
1960-06-12,72.604
1960-06-13,76.5115
1960-06-14,68.4135
1960-06-15,80.7585
1960-06-16,80.8675
1960-06-17,75.9975
1960-06-18,82.789
1960-06-19,71.7055
1960-06-20,73.069
1960-06-21,82.1655
1960-06-22,81.261
1960-06-23,77.833496
1960-06-24,74.3365
1960-06-25,71.0665
1960-06-26,66.42
1960-06-27,81.3255
1960-06-28,78.794495
1960-06-29,87.831
1960-06-30,79.875
1960-07-01,70.179
1960-07-02,78.4305
1960-07-03,83.804
1960-07-04,82.7175
1960-07-05,67.8925
1960-07-06,66.5025
1960-07-07,74.167496
1960-07-08,69.167
1960-07-09,72.1135
1960-07-10,83.8595
1960-07-11,69.3515
1960-07-12,68.6425
1960-07-13,81.9425
1960-07-14,88.7225
1960-07-15,79.567
1960-07-16,68.7805
1960-07-17,71.980995
1960-07-18,67.0195
1960-07-19,68.654
