time,hu
1960-01-01,82.4645
1960-01-02,91.70778
1960-01-03,90.37053
1960-01-04,91.89364
1960-01-05,92.38077
1960-01-06,93.18714
1960-01-07,94.229996
1960-01-08,92.54786
1960-01-09,83.4005
1960-01-10,88.6225
1960-01-11,83.274
1960-01-12,85.1755
1960-01-13,82.832634
1960-01-14,88.1385
1960-01-15,83.8255
1960-01-16,92.935
1960-01-17,92.83
1960-01-18,90.078
1960-01-19,80.975
1960-01-20,86.017
1960-01-21,90.854706
1960-01-22,88.98684
1960-01-23,84.7615
1960-01-24,82.5535
1960-01-25,79.359
1960-01-26,78.5735
1960-01-27,78.483
1960-01-28,79.638
1960-01-29,81.965
1960-01-30,86.055
1960-01-31,82.828
1960-02-01,86.8785
1960-02-02,77.988
1960-02-03,79.5785
1960-02-04,81.9055
1960-02-05,74.9225
1960-02-06,84.815
1960-02-07,83.0155
1960-02-08,77.783
1960-02-09,83.09421
1960-02-10,75.224
1960-02-11,83.8585
1960-02-12,79.323685
1960-02-13,84.792496
1960-02-14,91.31133
1960-02-15,79.7665
1960-02-16,83.877365
1960-02-17,78.624
1960-02-18,80.8215
1960-02-19,90.82579
1960-02-20,93.2
1960-02-21,92.24824
1960-02-22,80.9935
1960-02-23,88.17421
1960-02-24,92.386
1960-02-25,79.138
1960-02-26,85.139496
1960-02-27,78.7315
1960-02-28,84.47474
1960-02-29,88.104996
1960-03-01,74.556
1960-03-02,86.535
1960-03-03,86.454
1960-03-04,88.4525
1960-03-05,89.62059
1960-03-06,83.322
1960-03-07,82.792
1960-03-08,80.181496
1960-03-09,87.30684
1960-03-10,77.537
1960-03-11,70.106
1960-03-12,71.353
1960-03-13,79.826004
1960-03-14,79.5675
1960-03-15,75.687
1960-03-16,79.788
1960-03-17,80.007996
1960-03-18,90.99154
1960-03-19,91.41
1960-03-20,92.38467
1960-03-21,80.463
1960-03-22,71.607
1960-03-23,73.479
1960-03-24,72.000496
1960-03-25,71.778
1960-03-26,77.548
1960-03-27,82.037
1960-03-28,76.822
1960-03-29,74.8
1960-03-30,75.701996
1960-03-31,84.444
1960-04-01,84.155
1960-04-02,90.25588
1960-04-03,86.1635
1960-04-04,69.6735
1960-04-05,72.098495
1960-04-06,73.395
1960-04-07,58.1455
1960-04-08,68.1335
1960-04-09,73.8855
1960-04-10,76.0075
1960-04-11,76.803
1960-04-12,76.7705
1960-04-13,79.88
1960-04-14,57.003
1960-04-15,86.28737
1960-04-16,81.137
1960-04-17,78.2765
1960-04-18,79.205
1960-04-19,71.954
1960-04-20,82.0655
1960-04-21,84.963
1960-04-22,83.3645
1960-04-23,83.4265
1960-04-24,75.0735
1960-04-25,75.417
1960-04-26,79.765
1960-04-27,80.187
1960-04-28,81.3345
1960-04-29,90.58733
1960-04-30,91.46445
1960-05-01,79.7665
1960-05-02,84.3615
1960-05-03,77.6075
1960-05-04,64.2205
1960-05-05,57.288498
1960-05-06,80.181
1960-05-07,77.1705
1960-05-08,78.484
1960-05-09,77.948
1960-05-10,74.922
1960-05-11,73.3995
1960-05-12,64.92
1960-05-13,68.902
1960-05-14,61.503
1960-05-15,62.114
1960-05-16,56.957
1960-05-17,66.0955
1960-05-18,70.542
1960-05-19,56.4955
1960-05-20,63.356
1960-05-21,77.8965
1960-05-22,69.861
1960-05-23,82.3545
1960-05-24,81.282
1960-05-25,82.2075
1960-05-26,79.1
1960-05-27,87.8085
1960-05-28,90.98118
1960-05-29,92.120766
1960-05-30,88.55118
1960-05-31,75.489
1960-06-01,76.619
1960-06-02,75.6765
1960-06-03,62.117
1960-06-04,71.798
1960-06-05,75.528496
1960-06-06,70.204
1960-06-07,70.441
1960-06-08,77.952995
1960-06-09,76.667
1960-06-10,76.916
1960-06-11,87.7825
1960-06-12,79.7905
1960-06-13,74.6245
1960-06-14,66.4575
1960-06-15,82.3835
1960-06-16,80.986
1960-06-17,81.859
1960-06-18,84.7045
1960-06-19,73.4195
1960-06-20,75.28
1960-06-21,88.7015
1960-06-22,87.704
1960-06-23,84.132
1960-06-24,76.86
1960-06-25,76.823
1960-06-26,61.967
1960-06-27,77.89
1960-06-28,78.915
1960-06-29,90.60667
1960-06-30,79.6515
1960-07-01,72.704
1960-07-02,81.587
1960-07-03,88.738
1960-07-04,88.0595
1960-07-05,74.626
1960-07-06,70.014496
1960-07-07,77.226
1960-07-08,70.8685
1960-07-09,71.573
1960-07-10,89.7115
1960-07-11,76.39
1960-07-12,75.943
1960-07-13,84.8585
1960-07-14,89.7155
1960-07-15,79.9665
1960-07-16,74.59
1960-07-17,73.617
1960-07-18,64.6625
1960-07-19,69.744995
1960-07-20,72.4235
1960-07-21,84.72947
1960-07-22,80.051
1960-07-23,70.8965
1960-07-24,85.107
1960-07-25,81.4905
1960-07-26,81.0065
1960-07-27,82.723495
1960-07-28,76.166
1960-07-29,79.645
1960-07-30,76.393
1960-07-31,72.699
1960-08-01,64.729996
1960-08-02,77.316
1960-08-03,85.979
1960-08-04,81.791504
1960-08-05,65.2065
1960-08-06,82.0715
1960-08-07,74.8455
1960-08-08,71.448
1960-08-09,87.160995
1960-08-10,82.159
1960-08-11,79.748
1960-08-12,65.658
1960-08-13,62.112
1960-08-14,73.938995
1960-08-15,83.129
1960-08-16,75.4575
1960-08-17,70.519
1960-08-18,60.274
1960-08-19,61.556
1960-08-20,76.818
1960-08-21,78.9835
1960-08-22,75.865
1960-08-23,66.208
1960-08-24,69.124
1960-08-25,69.709
1960-08-26,70.2115
1960-08-27,72.131996
1960-08-28,70.4035
1960-08-29,72.907
1960-08-30,75.826004
1960-08-31,84.2315
1960-09-01,77.7735
1960-09-02,79.2345
1960-09-03,63.007
1960-09-04,55.549
1960-09-05,75.176
1960-09-06,83.626
1960-09-07,86.71579
1960-09-08,85.6125
1960-09-09,91.9825
1960-09-10,91.524376
1960-09-11,93.075714
1960-09-12,89.612
1960-09-13,76.346
1960-09-14,72.510994
1960-09-15,69.31
1960-09-16,67.6305
1960-09-17,69.006
1960-09-18,66.715
1960-09-19,64.471
1960-09-20,66.381
1960-09-21,79.1365
1960-09-22,81.261
1960-09-23,85.9775
1960-09-24,78.5625
1960-09-25,77.651
1960-09-26,75.951996
1960-09-27,79.6975
1960-09-28,83.932
1960-09-29,85.3805
1960-09-30,83.012
1960-10-01,91.01333
1960-10-02,89.00053
1960-10-03,81.0345
1960-10-04,76.84
1960-10-05,63.686
1960-10-06,80.7515
1960-10-07,82.5385
1960-10-08,85.4305
1960-10-09,76.736496
1960-10-10,76.445
1960-10-11,87.73579
1960-10-12,90.1325
1960-10-13,91.24117
1960-10-14,82.4205
1960-10-15,77.664
1960-10-16,87.00647
1960-10-17,87.75
1960-10-18,83.7795
1960-10-19,75.1625
1960-10-20,75.084496
1960-10-21,81.395
1960-10-22,80.8525
1960-10-23,68.3105
1960-10-24,81.1255
1960-10-25,80.882996
1960-10-26,82.751
1960-10-27,77.281
1960-10-28,77.001
1960-10-29,73.653
1960-10-30,80.733
1960-10-31,80.0715
1960-11-01,80.239
1960-11-02,85.17368
1960-11-03,85.813
1960-11-04,74.3
1960-11-05,70.5075
1960-11-06,92.99333
1960-11-07,93.325
1960-11-08,88.62889
1960-11-09,88.15278
1960-11-10,83.82
1960-11-11,89.5425
1960-11-12,89.95
1960-11-13,85.4995
1960-11-14,93.54167
1960-11-15,93.38714
1960-11-16,85.4915
1960-11-17,89.69
1960-11-18,85.896
1960-11-19,79.138
1960-11-20,89.981
1960-11-21,81.469
1960-11-22,76.942
1960-11-23,91.02055
1960-11-24,92.29222
1960-11-25,92.038666
1960-11-26,91.01867
1960-11-27,88.108826
1960-11-28,89.78
1960-11-29,92.149994
1960-11-30,89.27111
1960-12-01,77.2955
1960-12-02,66.583
1960-12-03,84.647
1960-12-04,77.677895
1960-12-05,83.6695
1960-12-06,78.7955
1960-12-07,84.796
1960-12-08,85.486496
1960-12-09,91.312
1960-12-10,91.09231
1960-12-11,93.74333
1960-12-12,94.71
1960-12-13,95.16
1960-12-14,91.37417
1960-12-15,91.796364
1960-12-16,92.576004
1960-12-17,93.67
1960-12-18,88.19316
1960-12-19,94.1125
1960-12-20,92.23417
1960-12-21,87.270584
1960-12-22,93.50285
1960-12-23,92.43
1960-12-24,92.01428
1960-12-25,92.975
1960-12-26,92.70267
1960-12-27,91.09071
1960-12-28,93.005
1960-12-29,93.56
1960-12-30,92.513336
1960-12-31,91.302666
1961-01-01,90.17368
1961-01-02,92.55385
1961-01-03,91.149284
1961-01-04,91.093
1961-01-05,92.02
1961-01-06,93.58
1961-01-07,93.24416
1961-01-08,90.432
1961-01-09,90.25667
1961-01-10,92.666
1961-01-11,87.9125
1961-01-12,92.18
1961-01-13,86.5375
1961-01-14,80.485
1961-01-15,86.953156
1961-01-16,86.223526
1961-01-17,81.091995
1961-01-18,73.077995
1961-01-19,81.232
1961-01-20,79.279
1961-01-21,73.592
1961-01-22,80.375
1961-01-23,75.236496
1961-01-24,83.5715
1961-01-25,92.30071
1961-01-26,86.841
1961-01-27,82.6565
1961-01-28,63.808
1961-01-29,77.1915
1961-01-30,77.125
1961-01-31,84.83
1961-02-01,84.359
1961-02-02,93.685555
1961-02-03,90.95909
1961-02-04,90.32111
1961-02-05,90.02625
1961-02-06,89.51118
1961-02-07,86.551575
1961-02-08,90.91818
1961-02-09,88.712944
1961-02-10,94.39
1961-02-11,91.82875
1961-02-12,94.24
1961-02-13,93.548
1961-02-14,89.4075
1961-02-15,78.796
1961-02-16,77.998
1961-02-17,86.02687
1961-02-18,75.37949
1961-02-19,78.01
1961-02-20,90.76
1961-02-21,87.47895
1961-02-22,80.0205
1961-02-23,78.904
1961-02-24,73.2425
1961-02-25,75.6275
1961-02-26,78.487
1961-02-27,78.935
1961-02-28,74.329994
1961-03-01,82.1555
1961-03-02,87.647896
1961-03-03,82.457
1961-03-04,86.388
1961-03-05,79.182
1961-03-06,70.609
1961-03-07,68.485
1961-03-08,59.1625
1961-03-09,56.541
1961-03-10,59.775997
1961-03-11,55.697998
1961-03-12,54.7155
1961-03-13,58.1455
1961-03-14,69.3085
1961-03-15,74.347496
1961-03-16,65.912
1961-03-17,57.6765
1961-03-18,52.0865
1961-03-19,65.311
1961-03-20,75.255
1961-03-21,83.2835
1961-03-22,93.47
1961-03-23,89.69947
1961-03-24,82.68
1961-03-25,81.2245
1961-03-26,67.9745
1961-03-27,67.298996
1961-03-28,82.5935
1961-03-29,80.176
1961-03-30,70.7015
1961-03-31,81.869
1961-04-01,72.647995
1961-04-02,81.937996
1961-04-03,81.485504
1961-04-04,81.437
1961-04-05,62.8055
1961-04-06,52.9115
1961-04-07,54.204
1961-04-08,66.2615
1961-04-09,75.729
1961-04-10,75.4485
1961-04-11,75.0785
1961-04-12,78.006
1961-04-13,71.395996
1961-04-14,64.4655
1961-04-15,57.442497
1961-04-16,57.9335
1961-04-17,67.6175
1961-04-18,67.4955
1961-04-19,67.815
1961-04-20,67.1225
1961-04-21,70.1235
1961-04-22,71.3625
1961-04-23,76.0605
1961-04-24,84.3105
1961-04-25,86.609
1961-04-26,80.359
1961-04-27,84.7745
1961-04-28,79.7515
1961-04-29,72.909996
1961-04-30,80.539
1961-05-01,87.939445
1961-05-02,88.52737
1961-05-03,75.3965
1961-05-04,85.262
1961-05-05,75.673996
1961-05-06,64.888
1961-05-07,87.1685
1961-05-08,82.9665
1961-05-09,80.462
1961-05-10,93.11462
1961-05-11,92.98111
1961-05-12,88.8255
1961-05-13,81.785995
1961-05-14,89.01222
1961-05-15,78.2905
1961-05-16,81.845
1961-05-17,84.8375
1961-05-18,88.83
1961-05-19,84.8835
1961-05-20,83.2995
1961-05-21,88.0305
1961-05-22,82.1845
1961-05-23,85.162
1961-05-24,78.227
1961-05-25,82.847496
1961-05-26,79.8555
1961-05-27,70.861
1961-05-28,80.5665
1961-05-29,77.803
1961-05-30,89.45333
1961-05-31,70.983
1961-06-01,63.881
1961-06-02,71.3265
1961-06-03,73.588
1961-06-04,79.17
1961-06-05,82.0875
1961-06-06,81.747
1961-06-07,80.9755
1961-06-08,80.533
1961-06-09,81.9325
1961-06-10,75.981995
1961-06-11,80.169
1961-06-12,86.361496
1961-06-13,82.865
1961-06-14,84.184
1961-06-15,82.712
1961-06-16,82.2885
1961-06-17,82.1585
1961-06-18,68.529495
1961-06-19,78.81
1961-06-20,76.376495
1961-06-21,76.0105
1961-06-22,70.4065
1961-06-23,78.495
1961-06-24,68.5255
1961-06-25,62.6735
1961-06-26,66.599
1961-06-27,57.42
1961-06-28,80.953
1961-06-29,80.458496
