time,hu
1960-01-01,85.08
1960-01-02,92.167336
1960-01-03,92.25077
1960-01-04,90.87769
1960-01-05,90.38067
1960-01-06,89.462105
1960-01-07,85.09789
1960-01-08,88.915886
1960-01-09,87.324
1960-01-10,76.594
1960-01-11,77.173
1960-01-12,88.6005
1960-01-13,85.9375
1960-01-14,84.812
1960-01-15,82.478
1960-01-16,84.28
1960-01-17,86.173
1960-01-18,81.835
1960-01-19,77.775
1960-01-20,77.446
1960-01-21,80.713
1960-01-22,77.9245
1960-01-23,83.859
1960-01-24,87.127365
1960-01-25,87.1275
1960-01-26,88.615
1960-01-27,86.76857
1960-01-28,88.03647
1960-01-29,83.7185
1960-01-30,77.874
1960-01-31,75.957
1960-02-01,61.4495
1960-02-02,68.9115
1960-02-03,78.418
1960-02-04,74.887
1960-02-05,73.84
1960-02-06,73.928
1960-02-07,82.297
1960-02-08,75.329
1960-02-09,75.505
1960-02-10,78.487
1960-02-11,84.809
1960-02-12,77.326
1960-02-13,78.0285
1960-02-14,84.7385
1960-02-15,84.8945
1960-02-16,88.2715
1960-02-17,88.988335
1960-02-18,91.42533
1960-02-19,90.65235
1960-02-20,90.357056
1960-02-21,90.40706
1960-02-22,82.43421
1960-02-23,82.0815
1960-02-24,84.047
1960-02-25,84.745
1960-02-26,85.3915
1960-02-27,83.8035
1960-02-28,90.704445
1960-02-29,88.34631
1960-03-01,91.61
1960-03-02,92.14389
1960-03-03,89.152
1960-03-04,89.23167
1960-03-05,81.061
1960-03-06,77.0365
1960-03-07,75.52
1960-03-08,80.9415
1960-03-09,68.2345
1960-03-10,65.5175
1960-03-11,63.552498
1960-03-12,76.1995
1960-03-13,81.1025
1960-03-14,72.774
1960-03-15,67.6635
1960-03-16,65.095
1960-03-17,83.026
1960-03-18,83.552
1960-03-19,85.356
1960-03-20,84.602
1960-03-21,78.5585
1960-03-22,69.049995
1960-03-23,72.49
1960-03-24,68.7715
1960-03-25,62.3775
1960-03-26,61.5875
1960-03-27,83.242
1960-03-28,75.798
1960-03-29,81.838
1960-03-30,81.6485
1960-03-31,82.534
1960-04-01,79.308
1960-04-02,79.3115
1960-04-03,77.5165
1960-04-04,74.4965
1960-04-05,68.8845
1960-04-06,69.738
1960-04-07,69.6245
1960-04-08,75.3585
1960-04-09,80.923996
1960-04-10,83.6045
1960-04-11,74.129
1960-04-12,61.693497
1960-04-13,69.6575
1960-04-14,64.488
1960-04-15,66.616
1960-04-16,71.663
1960-04-17,67.8055
1960-04-18,53.289497
1960-04-19,50.414997
1960-04-20,68.036995
1960-04-21,67.514496
1960-04-22,56.119
1960-04-23,65.059
1960-04-24,70.9985
1960-04-25,78.152
1960-04-26,69.4905
1960-04-27,62.9815
1960-04-28,73.1015
1960-04-29,80.296
1960-04-30,79.999
1960-05-01,79.3285
1960-05-02,73.8245
1960-05-03,56.9375
1960-05-04,59.187
1960-05-05,65.9985
1960-05-06,74.834496
1960-05-07,71.654495
1960-05-08,87.46889
1960-05-09,82.272995
1960-05-10,74.9795
1960-05-11,65.931496
1960-05-12,57.377
1960-05-13,51.5405
1960-05-14,76.753
1960-05-15,61.622498
1960-05-16,48.7495
1960-05-17,57.747498
1960-05-18,62.5125
1960-05-19,51.240997
1960-05-20,69.862
1960-05-21,68.2845
1960-05-22,64.412
1960-05-23,76.837
1960-05-24,67.4625
1960-05-25,65.4405
1960-05-26,53.472
1960-05-27,66.0555
1960-05-28,73.297
1960-05-29,79.584496
1960-05-30,87.46263
1960-05-31,76.4285
1960-06-01,71.2135
1960-06-02,66.6935
1960-06-03,74.944
1960-06-04,73.2545
1960-06-05,65.389
1960-06-06,65.573
1960-06-07,62.3745
1960-06-08,73.9535
1960-06-09,66.3525
1960-06-10,61.1865
1960-06-11,72.671
1960-06-12,58.6885
1960-06-13,61.715
1960-06-14,60.622997
1960-06-15,71.6355
1960-06-16,69.912994
1960-06-17,59.492
1960-06-18,71.6835
1960-06-19,64.945
1960-06-20,66.3975
1960-06-21,63.558
1960-06-22,61.712997
1960-06-23,61.572998
1960-06-24,61.056
1960-06-25,54.3585
1960-06-26,75.4005
1960-06-27,79.743996
1960-06-28,69.741
1960-06-29,81.721
1960-06-30,70.484
1960-07-01,72.2125
1960-07-02,66.973495
1960-07-03,65.1475
1960-07-04,57.453
1960-07-05,54.4735
1960-07-06,62.899498
1960-07-07,72.581
1960-07-08,61.1545
1960-07-09,77.555
1960-07-10,69.684494
1960-07-11,64.352
1960-07-12,65.473495
1960-07-13,85.3635
1960-07-14,79.2355
1960-07-15,66.997
1960-07-16,66.2255
1960-07-17,75.435
1960-07-18,71.267
1960-07-19,64.4655
1960-07-20,57.8485
1960-07-21,73.4505
1960-07-22,68.8905
1960-07-23,78.6165
1960-07-24,80.083
1960-07-25,87.505264
1960-07-26,77.482
1960-07-27,71.6195
1960-07-28,69.7405
1960-07-29,70.403496
1960-07-30,68.544495
1960-07-31,71.2565
1960-08-01,67.088
1960-08-02,73.1235
1960-08-03,62.716
