location,month,early,late,difference
Győr,Jan,0.0,0.0,0.0
Győr,Feb,0.146,0.451,0.30500000000000005
Győr,Mar,0.673,0.543,-0.13
Győr,Apr,0.0,0.5,0.5
Győr,May,0.0,0.146,0.146
Győr,Jun,0.0,0.0,0.0
Győr,Jul,0.0,0.0,0.0
Győr,Aug,0.0,0.0,0.0
Győr,Sep,0.684,0.451,-0.23300000000000004
Győr,Oct,0.245,0.639,0.394
Győr,Nov,0.0,0.0,0.0
Győr,Dec,0.0,0.0,0.0
Kecskemét,Jan,0.0,0.0,0.0
Kecskemét,Feb,0.146,0.393,0.24700000000000003
Kecskemét,Mar,0.637,0.451,-0.186
Kecskemét,Apr,0.451,0.146,-0.30500000000000005
Kecskemét,May,0.0,0.146,0.146
Kecskemét,Jun,0.0,0.0,0.0
Kecskemét,Jul,0.0,0.0,0.0
Kecskemét,Aug,0.0,0.0,0.0
Kecskemét,Sep,0.657,0.673,0.016000000000000014
Kecskemét,Oct,0.146,0.534,0.388
Kecskemét,Nov,0.146,0.0,-0.146
Kecskemét,Dec,0.0,0.0,0.0
Keszthely,Jan,0.0,0.0,0.0
Keszthely,Feb,0.245,0.58,0.33499999999999996
Keszthely,Mar,0.637,0.393,-0.244
Keszthely,Apr,0.0,0.0,0.0
Keszthely,May,0.0,0.146,0.146
Keszthely,Jun,0.0,0.0,0.0
Keszthely,Jul,0.0,0.0,0.0
Keszthely,Aug,0.0,0.146,0.146
Keszthely,Sep,0.684,0.637,-0.04700000000000004
Keszthely,Oct,0.146,0.393,0.24700000000000003
Keszthely,Nov,0.245,0.0,-0.245
Keszthely,Dec,0.0,0.0,0.0
Pécs,Jan,0.0,0.0,0.0
Pécs,Feb,0.245,0.5,0.255
Pécs,Mar,0.637,0.5,-0.137
Pécs,Apr,0.451,0.245,-0.20600000000000002
Pécs,May,0.146,0.291,0.145
Pécs,Jun,0.0,0.0,0.0
Pécs,Jul,0.146,0.0,-0.146
Pécs,Aug,0.0,0.0,0.0
Pécs,Sep,0.611,0.811,0.20000000000000007
Pécs,Oct,0.146,0.146,0.0
Pécs,Nov,0.146,0.146,0.0
Pécs,Dec,0.0,0.0,0.0
Košice,Jan,0.0,0.0,0.0
Košice,Feb,0.0,0.0,0.0
Košice,Mar,0.657,0.393,-0.264
Košice,Apr,0.146,0.451,0.30500000000000005
Košice,May,0.146,0.0,-0.146
Košice,Jun,0.0,0.0,0.0
Košice,Jul,0.0,0.0,0.0
Košice,Aug,0.0,0.0,0.0
Košice,Sep,0.691,0.684,-0.006999999999999895
Košice,Oct,0.146,0.0,-0.146
Košice,Nov,0.0,0.245,0.245
Košice,Dec,0.0,0.0,0.0
Oradea,Jan,0.0,0.0,0.0
Oradea,Feb,0.0,0.392674,0.392674
Oradea,Mar,0.673012,0.533962,-0.13905
Oradea,Apr,0.325083,0.392674,0.06759100000000001
Oradea,May,0.146145,0.388734,0.24258900000000003
Oradea,Jun,0.0,0.0,0.0
Oradea,Jul,0.0,0.0,0.0
Oradea,Aug,0.0,0.0,0.0
Oradea,Sep,0.684232,1.022169,0.33793700000000015
Oradea,Oct,0.146145,0.590515,0.44437000000000004
Oradea,Nov,0.146145,0.388734,0.24258900000000003
Oradea,Dec,0.0,0.0,0.0
Cluj-Napoca,Jan,0.0,0.0,0.0
Cluj-Napoca,Feb,0.0,0.146,0.146
Cluj-Napoca,Mar,0.691,0.451,-0.23999999999999994
Cluj-Napoca,Apr,0.245,0.543,0.29800000000000004
Cluj-Napoca,May,0.146,0.0,-0.146
Cluj-Napoca,Jun,0.0,0.0,0.0
Cluj-Napoca,Jul,0.0,0.0,0.0
Cluj-Napoca,Aug,0.0,0.0,0.0
Cluj-Napoca,Sep,0.693,0.691,-0.0020000000000000018
Cluj-Napoca,Oct,0.0,0.0,0.0
Cluj-Napoca,Nov,0.245,0.146,-0.099
Cluj-Napoca,Dec,0.0,0.0,0.0
Gheorgheni,Jan,0.0,0.0,0.0
Gheorgheni,Feb,0.0,0.24493,0.24493
Gheorgheni,Mar,0.673012,0.450561,-0.22245100000000007
Gheorgheni,Apr,0.0,0.146145,0.146145
